City,Country,Index 2010,year,Value
Vienna,Austria,108.6,2019,1
Vienna,Austria,108.6,2018,1
Vienna,Austria,108.6,2016,1
Vienna,Austria,108.6,2015,1
Vienna,Austria,108.6,2014,1
Vienna,Austria,108.6,2012,1
Vienna,Austria,108.6,2010,1
Zürich,Switzerland,108.0,2019,2
Zürich,Switzerland,108.0,2018,2
Zürich,Switzerland,108.0,2016,2
Zürich,Switzerland,108.0,2015,2
Zürich,Switzerland,108.0,2014,2
Zürich,Switzerland,108.0,2012,2
Zürich,Switzerland,108.0,2010,2
Munich,Germany,107.0,2019,3
Munich,Germany,107.0,2018,3
Munich,Germany,107.0,2016,4
Munich,Germany,107.0,2015,4
Munich,Germany,107.0,2014,4
Munich,Germany,107.0,2012,4
Munich,Germany,107.0,2010,7
Auckland,New Zealand,107.4,2019,3
Auckland,New Zealand,107.4,2018,4
Auckland,New Zealand,107.4,2016,3
Auckland,New Zealand,107.4,2015,3
Auckland,New Zealand,107.4,2014,3
Auckland,New Zealand,107.4,2012,3
Auckland,New Zealand,107.4,2010,4
Vancouver,Canada,107.4,2019,3
Vancouver,Canada,107.4,2018,5
Vancouver,Canada,107.4,2016,5
Vancouver,Canada,107.4,2015,5
Vancouver,Canada,107.4,2014,5
Vancouver,Canada,107.4,2012,5
Vancouver,Canada,107.4,2010,3
Düsseldorf,Germany,107.2,2019,6
Düsseldorf,Germany,107.2,2018,6
Düsseldorf,Germany,107.2,2016,6
Düsseldorf,Germany,107.2,2015,6
Düsseldorf,Germany,107.2,2014,6
Düsseldorf,Germany,107.2,2012,6
Düsseldorf,Germany,107.2,2010,6
Frankfurt,Germany,107.0,2019,7
Frankfurt,Germany,107.0,2018,7
Frankfurt,Germany,107.0,2016,7
Frankfurt,Germany,107.0,2015,7
Frankfurt,Germany,107.0,2014,7
Frankfurt,Germany,107.0,2012,7
Frankfurt,Germany,107.0,2010,7
Copenhagen,Denmark,106.2,2019,8
Copenhagen,Denmark,106.2,2018,9
Copenhagen,Denmark,106.2,2016,9
Copenhagen,Denmark,106.2,2015,9
Copenhagen,Denmark,106.2,2014,9
Copenhagen,Denmark,106.2,2012,9
Copenhagen,Denmark,106.2,2010,11
Geneva,Switzerland,107.9,2019,9
Geneva,Switzerland,107.9,2018,8
Geneva,Switzerland,107.9,2016,8
Geneva,Switzerland,107.9,2015,8
Geneva,Switzerland,107.9,2014,8
Geneva,Switzerland,107.9,2012,8
Geneva,Switzerland,107.9,2010,3
Basel,Switzerland,,2019,10
Basel,Switzerland,,2018,10
Sydney,Australia,106.3,2019,11
Sydney,Australia,106.3,2018,10
Sydney,Australia,106.3,2016,10
Sydney,Australia,106.3,2015,10
Sydney,Australia,106.3,2014,10
Sydney,Australia,106.3,2012,10
Sydney,Australia,106.3,2010,10
Amsterdam,Netherlands,105.7,2019,11
Amsterdam,Netherlands,105.7,2018,12
Amsterdam,Netherlands,105.7,2016,11
Amsterdam,Netherlands,105.7,2015,11
Amsterdam,Netherlands,105.7,2014,11
Amsterdam,Netherlands,105.7,2012,12
Amsterdam,Netherlands,105.7,2010,13
Berlin,Germany,105.0,2019,13
Berlin,Germany,105.0,2018,13
Berlin,Germany,105.0,2016,13
Berlin,Germany,105.0,2015,14
Berlin,Germany,105.0,2012,16
Berlin,Germany,105.0,2010,17
Bern,Switzerland,106.5,2019,14
Bern,Switzerland,106.5,2018,14
