Period;City;Quality of Life Index;Purchasing Power Index;Safety Index;Health Care Index;Cost of Living Index;Property Price to Income Ratio;Traffic Commute Time Index;Pollution Index;Climate Index
2020;Caracas, Venezuela;0;2,36;15,1;39,28;27,68;150,55;34,69;72,41;99,93
2020;Auckland, New Zealand;165,38;83,93;54,54;73,43;76,06;12,09;37,96;29,19;99,89
2020;Guatemala City, Guatemala;107,71;40,18;37,39;63,63;44,26;9,89;50,11;69,66;99,89
2020;Nairobi, Kenya;73,29;24,85;39,92;56,46;42,08;26,17;56,94;80,42;99,79
2020;Medellin, Colombia;117,13;29,9;48,66;77,28;30,19;17,9;38,29;64,89;99,76
2020;Curitiba, Brazil;135,61;32,89;36,25;66;40,02;14,66;30,29;32,2;99,6
2020;San Jose, Costa Rica;111,98;39,08;43,73;63,15;58,48;9,44;65,58;53,8;99,48
2020;Sao Paulo, Brazil;78,38;31,97;29,02;56,53;45,52;20,68;51,51;80,32;99,04
2020;Quito, Ecuador;119,55;39,03;44,72;69,77;43,85;11,08;40,64;65,31;98,97
2020;Campinas, Brazil;129,75;41,34;32,52;60,59;41,06;10,8;28,52;46,6;98,87
2020;Porto Alegre, Brazil;110,36;34,27;23,46;62,2;39,49;15,21;32,26;56,38;98,74
2020;Lisbon, Portugal;150,28;46,27;72,38;71,4;51,87;18,36;36,37;36,17;98,59
2020;Belo Horizonte, Brazil;95,95;23,54;34,46;61,22;38,07;26,28;44,3;53,66;98,5
2020;Buenos Aires, Argentina;110,51;46,67;38,69;69,04;34,58;26,09;47,46;51,9;98,28
2020;Cape Town, South Africa;142,59;68,48;26,95;70,52;44,74;7,81;43,59;37,7;98,19
2020;Brisbane, Australia;198,88;119,03;66,22;82,1;72,8;5,49;40,64;21,43;98,07
2020;Montevideo, Uruguay;123,59;40,38;43,08;66,42;51,63;15,25;40,11;49,33;98,04
2020;Lima, Peru;81,82;31,7;30,95;57,35;42,59;15,75;49,73;85,44;97,69
2020;Wellington, New Zealand;205,06;106,71;71,39;74,84;70,47;6,06;27,68;13,3;97,68
2020;San Francisco, CA, United States;166,86;135,9;47,21;66,88;91,51;7,78;49,72;42,73;97,26
2020;Bogota, Colombia;89,11;28,87;38,37;64,95;33,16;24,88;51,32;69,19;97,12
2020;San Diego, CA, United States;191,83;130,19;63,72;70,69;74,22;5,22;33,63;34,94;97,08
2020;Sydney, Australia;176,28;97,02;66,1;77,28;79,08;11,44;42,71;27,22;97,07
2020;Izmir, Turkey;142,31;41,05;72,94;71,98;33,31;8,65;38,47;60,68;96,88
2020;Porto, Portugal;154,38;45,61;63,13;75,1;49,77;13,15;29;37,57;96,61
2020;Oakland, CA, United States;167,76;113,6;35,33;78,75;86,51;6,39;37,96;37,44;96,4
2020;Pretoria, South Africa;133,42;82,94;18,37;67,3;46,95;2,28;45,5;57,12;95,83
2020;Limassol, Cyprus;153,24;62,76;69,4;47,89;61,98;8,63;19,19;49,82;95,74
2020;Barcelona, Spain;141,12;67,72;55,75;77,49;58,73;12,81;30,52;64,22;95,73
2020;Perth, Australia;183,8;101,51;57,04;77,57;73,92;6,89;36,92;23,27;95,71
2020;Durban, South Africa;137,28;72,57;19,28;58,08;40,04;3,56;26,48;53,53;95,61
