Country,City,City Prosperity Index (CPI) with 5 Dimensions,City Prosperity Index (CPI) with 4 Dimensions,Productivity Index,Quality of life Index,Infrastructure Index,Enivronment Index,Equity Index
Armenia,Yerevan,0.779,0.769,0.635,0.85,0.87,0.745,0.817
Australia,Melbourne,0.903,0.925,0.867,0.875,0.996,0.967,0.82
Austria,Vienna,0.925,0.936,0.939,0.882,0.996,0.932,0.883
Bangladesh,Dhaka,0.633,0.593,0.545,0.539,0.673,0.627,0.817
Belgium,Brussels,0.883,0.91,0.862,0.864,0.997,0.922,0.783
Bolivia,La Paz,0.551,0.565,0.363,0.621,0.745,0.606,0.502
Brazil,São Paulo,0.757,0.836,0.742,0.803,0.918,0.894,0.507
Cambodia,Phnom Penh,0.677,0.666,0.544,0.613,0.728,0.809,0.722
Cameroon,Yaoundé ,0.618,0.623,0.492,0.555,0.666,0.827,0.6
Canada,Toronto,0.89,0.934,0.874,0.907,0.997,0.963,0.733
China,Beijing,0.799,0.762,0.667,0.836,0.911,0.663,0.967
China,Shanghai,0.826,0.832,0.671,0.836,0.9,0.95,0.8
Côte d'Ivoire,Abidjan,0.578,0.599,0.452,0.44,0.767,0.842,0.5
Czech Republic,Prague,0.871,0.882,0.855,0.771,0.992,0.926,0.827
Denmark,Copenhagen,0.913,0.911,0.855,0.871,0.997,0.928,0.922
Egypt,Cairo,0.722,0.73,0.679,0.743,0.916,0.616,0.692
Ethiopia,Addis Ababa,0.501,0.564,0.503,0.534,0.521,0.724,0.313
Finland,Helsinki,0.924,0.933,0.89,0.905,0.997,0.944,0.89
France,Paris,0.897,0.927,0.895,0.925,0.996,0.895,0.788
Ghana,Accra,0.56,0.576,0.347,0.592,0.737,0.728,0.5
Greece,Athens,0.862,0.889,0.8,0.885,0.996,0.884,0.762
Guatemala,Guatemala City,0.614,0.646,0.44,0.556,0.823,0.866,0.502
Guinea,Conakry,0.449,0.416,0.133,0.461,0.607,0.809,0.612
Honduras,Tegucigalapa,0.652,0.694,0.541,0.729,0.709,0.829,0.51
Hungary,Budapest,0.881,0.894,0.808,0.867,0.99,0.921,0.833
India,Mumbai ,0.694,0.688,0.645,0.739,0.745,0.632,0.715
India,New Delhi,0.635,0.617,0.596,0.69,0.786,0.448,0.712
Indonesia,Jakarta,0.769,0.743,0.636,0.733,0.741,0.881,0.885
Ireland,Dublin,0.913,0.929,0.901,0.867,0.996,0.958,0.85
Italy,Milan,0.87,0.908,0.868,0.895,0.997,0.876,0.733
Japan,Tokyo,0.905,0.925,0.85,0.931,0.989,0.936,0.828
Jordan,Amman,0.771,0.796,0.697,0.79,0.887,0.824,0.68
Kazakhstan,Almaty,0.83,0.833,0.751,0.822,0.872,0.897,0.818
Kenya,Nairobi,0.593,0.673,0.481,0.559,0.86,0.889,0.357
Liberia,Monrovia,0.313,0.285,0.048,0.381,0.411,0.886,0.457
Madagascar,Antananarivo,0.465,0.446,0.171,0.558,0.511,0.812,0.552
Mali,Bamako,0.491,0.452,0.401,0.416,0.544,0.46,0.683
Mexico,Mexico City,0.709,0.816,0.743,0.764,0.9,0.866,0.405
Moldova,Chisinau,0.698,0.693,0.34,0.85,0.895,0.894,0.717
Mongolia,Ulaanbaatar,0.675,0.664,0.493,0.777,0.632,0.804,0.722
Morocco,Casablanca,0.647,0.7,0.634,0.513,0.827,0.891,0.472
Nepal,Kathmundu,0.598,0.594,0.385,0.621,0.74,0.704,0.617
Netherlands,Amsterdam,0.895,0.915,0.866,0.872,0.995,0.933,0.818
New Zealand,Auckland,0.862,0.922,0.854,0.889,0.994,0.958,0.657
Niger,Niamey,0.482,0.456,0.402,0.426,0.485,0.521,0.602
Nigeria,Lagos,0.496,0.582,0.475,0.634,0.576,0.659,0.262
Norway,Oslo,0.924,0.929,0.87,0.914,0.997,0.939,0.903
Philippines,Manila,0.723,0.737,0.676,0.647,0.775,0.868,0.669
Poland,Warsaw,0.883,0.901,0.846,0.864,0.99,0.911,0.817
Portugal,Lisbon,0.853,0.899,0.827,0.867,0.995,0.916,0.692
Republic of Korea,Seoul,0.861,0.876,0.801,0.903,0.989,0.822,0.807
Romania,Bucharest,0.836,0.821,0.707,0.767,0.968,0.867,0.9
Russia,Moscow,0.793,0.87,0.806,0.813,0.96,0.908,0.55
Senegal,Dakar,0.581,0.552,0.51,0.384,0.794,0.596,0.712
South Africa,Cape Town,0.59,0.758,0.628,0.645,0.933,0.875,0.217
South Africa,Johannesburg,0.479,0.742,0.654,0.645,0.88,0.816,0.083
Spain,Barcelona,0.876,0.909,0.829,0.912,0.995,0.908,0.755
Sweden,Stockholm,0.898,0.934,0.896,0.925,0.995,0.921,0.767
Switzerland,Zurich,0.884,0.914,0.868,0.858,0.997,0.941,0.772
Thailand,Bangkok,0.733,0.794,0.719,0.747,0.871,0.85,0.533
Turkey,Ankara,0.78,0.806,0.699,0.802,0.842,0.891,0.683
Uganda,Kampala,0.581,0.59,0.512,0.486,0.507,0.956,0.55
Ukraine,Kyïv,0.798,0.781,0.579,0.757,0.968,0.874,0.873
United Kingdom,London,0.904,0.934,0.923,0.898,0.997,0.92,0.793
United Republic of Tanzania,Dar es Salaam,0.571,0.53,0.427,0.371,0.607,0.822,0.767
United States,New York,0.825,0.934,0.94,0.866,0.994,0.941,0.502
Viet Nam,Hà Noi,0.756,0.776,0.712,0.761,0.912,0.733,0.683
Zambia,Lusaka,0.434,0.507,0.316,0.463,0.59,0.766,0.233
Zimbabwe,Harare,0.493,0.542,0.246,0.451,0.899,0.864,0.338
