country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,,,,1.91,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,8.29,7.65,8.12,10.1,7.43,9.6,11.9,11,,9.6
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,,,,1.32,1.04,1.47,1.01,1.49,1.46,1.54,2.03,1.52,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,5.75,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,8.62,7.25,,4.65,5.08,4.53,4.14,4.17,3.76,3.57,,,4.29
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,13,13.3,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,2.87,3.16,3.55,5.92,5.59,6.16,5.45,5.84,5.89,5.29,5.46,7.95,9.51,11,9.68,7.63,7.58,6.77,6.29,5.49,4.53,4.58,4.3,3.77,3.55,3.37,3.23,2.73,2.61,3.34,3.25,3.33,3.45,3.83,4.09,4.25,4.25,4.07
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,3.88,4.6,5.16,6.36,4.75,6.74,5.55,5.75,6.07,5.07,3.97,4.02,3.45,2.25,2.72,2.47,3.59,3.44,3.77,3.82,4.72,4.97,4.24
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,1.53,3.5,2.8,2.7,2.28,2.13,2.38,2.61,2.7
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,,,,,5.93,,8.16,,4.93,3.69,6.77,,6.05,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,1.97,1.85,,,,2.16,,,0.938,,,1.05,0.869
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,,,8.7,9.78,11.1,9.9,5.95,8.05,13,,,10.8,,4.95,,,,,,7.14,,,,,,5.77,6.03,,,7.2,6.25,5.53,4.69,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,5.82
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,5.87,4.97,6.15,5.25,6.25,4.22,3.56,2.75,2.82,3.55,4.92,3.96,4.48,4.67,5.32,5.66,3.22,2.98,3.48,1.68,3.63,4.43,4.76,4.24,4.36,5.11,4.63,4.03,4.49,5.39,5.37,5.62,5.66,5.87
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,4.73,0.79,4.84
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.799,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,1.26,0.3,0.19,0.41,0.06,0.16,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,16,14,14.7,14.7,16.2,15.4,,13.3,14.6,15.9,11.2
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,16.5,,,,,,,,,,5.9,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.51,2.52,3.34,5.13,6.05
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,,,1.92
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,18.4,15,11.6,10.2,8.63,7.86,6.82,5.52,6.29,8.98,8.81,10.4,12.4,11.7,8.69,7.33,5.88
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,5.19,5.61,4.74,4.68,4.57,7.08,8.42,8.14,8.39,7.45,7.12,6.33,6.36,6.09,8.26,9.29,9.96,9.19,8.33,7.81,7.6,6.86,5.95,5.48,5.82,6.26,6.27,5.92,5.37,5.23,5.06,5.37,6.96,6.59,6.63,6.2,6.33,6.15,6.08,6.36,5.77
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,3.28
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08,7.27,,4.61,,3.42,3.01,2.02,2.08,1.69,2.15,2.94,2.57,4.09,4.09,4.54,7.46,7.02,6,5.67,5.74,5.45,4.97,4.64,4.73,4.6,6.68,4.46,4.06,3.57,3.09,3.85,3.23,4.12,4.2
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,5.51,,,,,3.94,,,,4.3,,,,,7.92,8.41,7.59,7.14,6.13,,5.89,5.91,7.07,6.17,5.51,5.45,4.91,4.91,4.77,5,4.87
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,1.43,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,5.34,3.71,3.69,4.36,4.12,3.54
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,2.86,,,0.877,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,6.75,6.49,7.23,6.03,6.07,5.48,5.83,6.54,7.73,10.4,9.91,11.6,11.6,9.57,7.47
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.6,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,5.46,3.52,4.37,5.34,3.55,3.26,3.11,3.25,4.32,4.73,4.86,9.67,12.4,16.3,15.6,11.5,7.84
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,3.55,2.92,3.62,3.83,3.78,4.86,5.26,4.45,3.89,4.43,5.43,5.16,5.32,4.64,3.88,5.66,6.5,5.81,5.83,5.81,4.93,4.38,3.82,2.4
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,5.06,5.93,5,5.87,5.92,7.14,6.12,8.61,8.56,8.82,6.47,8.02,6.11,5.06,5.08,4.24,4.04,3.97,4.68,3.9,5.63,5.17,3.89,3.42,2.61,4.13,5.45,5.75,5.48,5.14,4.81,4.36,4.03,3.72
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2.29,1.18
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,5.49,5.62,,2.18,1.49,,3.69,2.65,0.793,1.29,1.07,1.69,1.51,1.61,0.795,1.01,1.11,1.22,1.17,1.84,1.31
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.482,0.286,2.05,0.352,0.61,1.01,0.608,1.12,0.33
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,5.16,4.29,,,,,,,,4.96,5.87,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,0.62,2.07,3.48,5.16,6.24,6.24,5.55,5.35,6.09,8.56,9.23,10.2,7.4,4.58,5.43,4.14,3.56,4.08,9.34,16.3,11.6,7.16,6.05,5.44,6.04,8.05,5.73
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,1.02,,,,,,,,0.685,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786,,,,,,0.894,,,0.68,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,5.07,10.8,15.7,19,13.1,14.8,12.8,13.3,10.4,9.38,8.97,7.51,8.25,8.35,6.88,6.77,6.35,5.39,6.23,6.52,6.42,6.58,6.95,7.27,8.02,7.52,7.82
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,6.57,6.86,7.39,7.8,7.66,7.09,6.52,6.51,7.48,7.34,6.68,6.49,8.12,7.9,8.32,8.11,7.35,5.84,5.3,4.75,5.64,4.57,4.96,4.38,4,5.41,5.77,5.71,6.2,7.01,7.45,7.36,7.21,6.51
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.42,6.07,6.8,7.21,7.34,8,7.46,7.29,8.51,10.4,12,11.6,13.3,15.2,15.4,14.2,12.7,12,11.2,12.6,12.8,12.7,12.4,10.3,8.47,7.99,7.6,6.42,5.86,5.69,5.11,4.7,3.88,3.39
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,2.33,2.13,1.92,2.06,1.81,1.75,1.62,1.76,2.38,2.77,3.1,3.4,2.97,3.2,3.16,4.27,3.7,4.05,3.8,3.11,4.24,3.77,3.7,3.36,3.24,4.57,6.23,8.41,13.5,16.2,17.2,17.5,19.2,18.1
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,11.8,,6.55,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,1.92,1.19,0.697,0.378,,0.631,0.829,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,0.987,0.947,1.22,0.853,1.77,1.6,1.27,0.971,1.6,1.46,2.79,1.9
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,8.44,6.97,5.42,5.87,5.58,6.13,2.73,3.12,2.84,2.94,2.85,2.87,3.87,3.97,4.38,5.12,6.49,7.9,9.18,8.4,8.05,6.37,5.77,4.4,3.59
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,2.76,4.36,3.79,3.12,3.04,2.61,1.88,,,,1.53,2.79,4.54,1.43,1.41,0.894,1.59,3.66,4.36,5.46,4.24,3.22,3,3.21,2.09,1.8
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,0.136,,,,,0.363,,,,,0.21,,0.304,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.417,1.12,1.19,1.63,1.52,0.928,0.981,1.15,0.814,0.952,1.21,0.89,0.776,0.711,0.669,0.656,0.684,0.767
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,2.89,4.11,5.48,,,,2.76,3.44,4.43,3.78
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,,3.07,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93,10.2,10.3,10.6,12.2,11.8,11.2,9.5,9.41,8.36,8.21,8.42,7.74,6.77,6.16,5.05,4.26,2.53,2.64,2.37,2.37,2.42,2.79,2.42,2.47,3.42,6.51,8.72,9.61,10.5,10.8,9.52,7.74,6.4,5.74
