country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,,,0.958,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,7.81,3.21,,,1.76,1.38,1.07,,2.3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,3.15,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,9.25,7.49,,5.1,5.62,4.69,3.74,2.86,3.04,3.38,,,4.47
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,8.58,8.46,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.35,1.5,1.14,1.52,1.46,1.6,1.34,1.09,1.27,1.54,1.6,1.77,2.09,1.98,1.81,1.47,1.67,1.6,1.15,0.916,1.02,1.44,0.925,0.875,0.909,1.01,1.33,1.17,1.01,1.27,1.53,1.15,1.62,1.51,2.22,1.52,1.55,1.4
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,9.78,,,,,1.41,,1.03,0.507,0.441,0.258,0.415,0.308,0.525,0.401,0.326,0.808,0.399,0.495,0.847
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,,,,3.07,,3.56,,,2.99,6.05,,32.7,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,3.42,3.24,,,,3.64,,,0.718,,,0.87,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,4.35,,,,,,5.26,5.13,,,2,,2.08,1.85,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,6.65
