country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,5.29,4.5,4.91,5.67,5.28,5.3,5.53,5.76,6.09,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,
Angola,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,
Argentina,,,,,,,,,,,,,,,1.72,1.39,1.11,,0.88,0.925,0.866,0.783,0.811,0.798,0.856,,,1.14
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,7.15,7.11,5.4,
Australia,1.24,1.94,2.66,2.71,2.37,1.91,1.76,1.85,1.78,1.47,1.24,1.24,1.17,1.05,0.918,0.792,0.762,0.616,0.593,0.876,0.912,0.866,0.907,1.02,1.21,1.24,1.19,1.17
Austria,,,,,0.859,0.88,1.07,1.15,1.14,1.07,0.984,0.797,0.743,0.908,1.19,1.18,1.14,1.07,0.879,1.07,1.05,0.989,1.06,1.18,1.32,1.43,1.55,1.44
Azerbaijan,,,,,,,,,,,,,,,,,,,,2.54,2.44,2.39,2.29,2.2,2.18,2.21,2.25,2.17
Bangladesh,,,,,,,,,,,,,,,,,0.113,,,,1.13,,,0.969,,,,0.556
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,
Belgium,,,2.01,2.29,2.96,2.98,3.01,2.85,2.96,2.71,2.03,1.71,1.95,2.09,2.17,2.47,2.35,2.14,1.89,2.1,2.45,2.02,2.02,2.38,2.49,2.46,2.25,2.01
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,0.648,,0.767,,
Bolivia,,,,,,,,,,,,,,,,0.974,0.807,0.55,0.449,0.521,,0.359,0.328,0.422,0.357,0.473,0.586,0.581
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,8.85,8.4,6.6,6.49,7.48,7.32,7.55,,7.9,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,3
Bulgaria,,,,,,,,,,,5.33,6.78,6.22,4.7,3.78,3.17,2.79,2.33,1.77,1.97,3.2,3.75,4.06,4.41,4.07,3.24,2.55,2.08
Cambodia,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,
Canada,0.773,1.23,1.59,1.77,1.58,1.29,1.31,1.14,0.934,0.757,0.621,0.567,0.674,0.665,0.615,0.554,0.483,0.431,0.437,0.727,0.92,0.862,0.758,0.768,0.743,0.699,0.728,0.673
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
Chile,,,,,,,,,,,,,,,,,,,,,1.03,0.86,0.719,0.575,0.69,0.674,0.827,0.942
Colombia,,,,,,,,,,,,3.92,2.97,2.8,2.57,2.09,,1.21,1.21,1.45,1.59,1.36,1.24,1.11,1.07,0.966,1.05,1.15
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,0.788,0.979,1.24,1.19,1.02,0.934
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,
Croatia,,,,,,,,,,,,,4.68,4.19,4.04,3.76,3.34,3.22,2.8,2.97,3.83,4.6,5.35,5.86,5.73,5.53,3.76,2.87
Cuba,,,,,,,,,,,,,,,,,,,,0.252,0.401,,,,,,,
Cyprus,,,,,,,,,,,0.892,0.63,0.506,0.641,0.733,0.825,0.632,0.53,0.404,0.592,1.01,1.29,2.4,3.61,3.97,3.44,2.82,2.2
Czech Republic,,,,0.721,0.809,0.955,0.919,1.15,1.66,2.66,3.08,2.83,2.52,2.6,2.87,2.87,2.67,1.88,1.5,1.78,2.36,2.05,2.18,2.23,1.92,1.65,1.2,0.807
Denmark,,,2.51,2.68,2.3,1.74,1.63,1.31,1.1,1.05,0.906,0.842,0.751,1.16,1.25,1.03,0.716,0.585,0.404,0.822,1.52,1.67,1.74,1.5,1.38,1.36,1.25,1.14
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.923,0.895,0.58
Ecuador,,,,,,,,,,,1.25,0.767,,0.942,0.65,0.466,0.468,0.337,0.29,0.404,0.359,0.285,0.242,0.232,0.222,0.328,0.593,0.493
Egypt,,,,,,,,,,,,,,,,,,,2.36,2.59,2.54,2.88,3.63,3.82,,3.63,3.39,3.14
Estonia,0.181,0.383,0.931,2.07,2.53,3.11,3.56,2.94,2.79,3.29,3.84,4.53,3.52,3.13,3.42,2.57,1.87,1.38,1.33,3.37,5.72,4.45,3.5,2.61,2.27,1.71,1.63,1.46
Ethiopia,,,,,,,,,,0.779,,,,,,0.561,,,,,,,,0.589,,,,
Fiji,,,,,,,,,,,,,,,,0.904,,,,,,1.22,,,,,1.1,
Finland,,1.55,,4.85,,3.83,3.75,3.42,2.65,2.17,2.28,2.04,2.01,2.04,1.93,1.73,1.52,1.29,0.98,1.27,1.6,1.34,1.34,1.41,1.54,1.77,1.68,1.57
France,1.99,2.01,2.3,2.59,3.06,2.91,3.02,3.13,3,2.67,2.42,1.99,1.86,1.93,2.21,2.16,2.17,1.88,1.66,2.09,2.28,2.26,2.39,2.55,2.86,2.9,2.8,2.6
Gambia,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
