country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,74000,74000,74000,74000,74000,74000,74200,74200,74200,74200,74200,74200,74300,74300,74400,74500,74800,74900,75100,75200,75400,75600,75800,76100,76300,76600,77100,77400,77800,78100,78500,78900,79300,79700,80100,80500,81100,81500,81900,82300,82800,83200,83600,84000,84400,85100,85500,85900,86400,86800,87200,87600,88000,88400,88700,89400,89700,90100,90500,90900,91300,91700,92100,92500,92900,93600,94100,94600,95000,95500,96000,96600,97100,97600,98100,99000,99600,100000,101000,102000,102000,103000,103000,104000,105000,106000,106000,107000,108000,108000,109000,110000,111000,111000,112000,113000,114000,114000,115000,116000,116000,117000,118000,118000,119000,120000,120000,121000,122000,122000,122000,123000,124000,124000,125000,126000,127000,128000,128000,130000,130000,131000,132000,133000,135000,136000,137000,139000,140000,142000,143000,145000,146000,148000,150000,151000,152000,154000,155000,156000,158000,159000,161000,162000,164000,165000,166000,168000,169000,170000,172000,172000,170000,169000,168000,167000,166000,166000,166000,167000,168000,157000,158000,157000,157000,158000,159000,160000,161000,162000,164000,165000,166000,167000,167000,166000,167000,167000,165000,161000,154000,148000,140000,132000,124000,118000,110000,104000,99500,98100,100000,101000,105000,110000,114000,116000,120000,122000,123000,124000,126000,126000,127000,127000,126000,125000,124000,122000,120000,117000,115000,111000,106000,102000,97700,94300
Albania,5070,5080,5100,5120,5130,5150,5160,5180,5200,5210,5230,5250,5260,5280,5300,5320,5340,5360,5380,5400,5420,5440,5460,5480,5500,5520,5550,5570,5600,5620,5650,5670,5700,5720,5750,5770,5800,5830,5850,5880,5900,5930,5960,5990,6030,6060,6100,6140,6170,6220,6260,6310,6360,6410,6460,6520,6580,6640,6700,6760,6830,6890,6960,7030,7100,7170,7240,7310,7380,7460,7530,7610,7680,7760,7830,7910,7990,8060,8140,8220,8300,8380,8470,8550,8630,8720,8800,8890,8980,9070,9160,9250,9340,9440,9530,9630,9730,9820,9920,10000,10100,10200,10300,10400,10400,10500,10600,10700,10800,10800,10900,11000,11100,11200,11200,11200,11300,11300,11400,11400,11400,11400,11500,11500,11500,11600,11200,10800,10500,10100,10100,10100,10100,10000,9980,9920,9840,9760,9670,9600,9500,9380,9250,9110,8970,8820,8650,8480,8310,8120,7930,7970,8200,8400,8570,8710,8830,8910,8970,8990,8980,8920,8820,8680,8500,8310,8100,7910,7720,7550,7400,7270,7140,7010,6890,6770,6660,6550,6620,6100,5650,5270,4930,4630,4370,4170,4000,3890,3770,3600,3390,3170,2910,2630,2360,2140,1940,1770,1630,1500,1380,1250,1130,1020,918,823,737,662,598,559,540,543,567,593,613,618
Algeria,55400,55600,55800,56000,56200,56400,56600,56800,57000,57200,57400,57600,57800,58100,58300,58600,58800,59100,59400,59700,60000,60300,60700,61000,61400,61700,62100,62500,62900,63300,63700,64200,64600,65000,65500,65900,66400,66800,67300,67700,68200,68700,69100,69600,70100,70600,71000,71500,72000,72500,73000,73500,74000,74500,75000,75600,76100,76600,77200,77700,78200,78800,79400,79900,80500,81100,81700,82400,83000,83600,84300,85000,85700,86300,87000,87800,88500,89300,90000,90800,91700,92500,93300,94100,94900,95800,96600,97500,98400,99200,100000,101000,102000,103000,104000,105000,106000,106000,107000,108000,109000,110000,111000,112000,113000,114000,114000,115000,116000,117000,117000,118000,119000,120000,121000,122000,124000,125000,126000,128000,129000,130000,132000,133000,133000,134000,135000,136000,137000,138000,139000,140000,141000,142000,143000,143000,144000,144000,145000,145000,146000,146000,148000,150000,152000,148000,145000,142000,139000,136000,132000,129000,126000,124000,118000,122000,124000,124000,124000,124000,126000,128000,133000,139000,146000,151000,156000,158000,160000,160000,161000,161000,161000,160000,158000,155000,151000,146000,139000,131000,122000,110000,97200,83700,70900,60300,52400,46800,43000,40500,38700,37300,36200,34900,33400,31600,29700,27700,25800,24200,23100,22300,21700,21500,21600,21800,22300,23000,23700,24300,24700,24900,25000,24900,24700,24300
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
Angola,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36400,36400,36400,36500,36500,36600,36700,36800,36900,37000,37200,37400,37600,37800,38000,38200,38400,38600,38900,39200,39400,39700,40000,40300,40700,41000,41300,41600,41900,42200,42500,42800,43100,43400,43700,44000,44400,44700,45100,45400,45800,46100,46500,46900,47200,47600,48000,48400,48800,49200,49500,49900,50400,50800,51200,51600,52000,52400,52900,53300,53700,54100,54600,55000,55400,55900,56400,56800,57300,57800,58200,58700,59100,59600,60100,60600,61000,61500,62000,62500,63100,63600,64100,64600,65100,65600,66100,66600,67100,67600,68100,68600,69000,69500,70000,70500,70900,71300,71700,72100,72500,72900,73300,73800,74200,74600,75000,75300,75800,76200,76500,76900,77200,77600,78000,78400,78600,79000,79300,80700,82100,83500,84900,86300,87700,89000,90400,91800,93100,94400,95200,96000,96700,97200,97900,98600,99200,99500,100000,101000,101000,101000,101000,101000,100000,100000,99300,98400,97500,96500,95500,94500,93400,92400,91400,90400,89500,88700,88200,87900,88800,89900,91200,92600,94100,95800,97600,99500,102000,94600,97400,100000,103000,106000,108000,111000,114000,116000,119000,122000,126000,130000,134000,138000,142000,145000,148000,151000,154000,157000,160000,164000,167000,170000,174000,176000,178000,178000,178000,178000,177000,175000,174000,172000,169000
Antigua and Barbuda,621,616,610,605,600,594,590,583,579,574,569,564,559,554,550,544,539,535,530,526,521,516,512,508,503,499,494,490,486,481,477,474,469,465,460,457,453,449,445,441,437,433,429,426,422,418,415,411,407,404,400,397,393,389,386,382,378,374,370,366,362,357,354,350,345,342,338,334,330,326,322,319,315,311,308,305,302,299,296,295,292,290,289,287,285,284,282,281,280,278,276,273,271,268,265,262,259,254,251,247,243,239,235,232,228,224,220,216,212,208,205,201,198,195,192,189,186,183,180,178,175,173,173,174,175,176,176,177,178,179,182,186,189,192,195,198,201,204,207,210,213,214,215,217,217,218,219,220,221,221,222,218,213,208,202,195,189,181,173,166,159,152,147,142,137,133,129,124,119,113,108,101,94,87,79,72,66,60,56,52,49,46,44,42,40,38,36,34,32,31,29,26,25,24,24,24,24,25,25,25,25,24,23,21,20,19,18,17,16,15,15,14,13,13,12,12
Argentina,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10200,10200,10300,10400,10500,10600,10800,10900,11100,11200,11400,11600,11900,12100,12400,12600,12900,13300,13600,13900,14200,14600,15000,15300,15700,16100,16500,16900,17300,17700,18100,18600,19000,19500,20000,20500,21000,21500,22000,22600,23100,23700,24300,24900,25500,26100,26800,27500,28200,28900,29700,30500,31300,32200,33100,34000,34700,35300,38800,39800,41000,42200,43500,44700,46200,47700,49200,50800,52600,53800,54800,56000,56500,56900,57900,58800,59700,61300,63200,65700,68500,71100,72100,73100,73900,74700,75500,76600,76200,75300,74400,73600,72800,71800,70700,69700,68600,67500,66400,60800,59100,59300,59800,62500,68600,66800,63200,57400,56000,57200,60900,65200,64900,70600,62300,58500,54500,55100,52300,47500,54800,61800,56000,55200,61600,52700,53300,50200,51400,47600,48800,50000,44600,48000,41800,40800,41900,41400,40400,39400,37700,39500,36200,44700,39800,37700,35700,33900,32100,30400,28800,29000,30000,30300,30600,38300,38700,39100,39600,40000,40100,39900,39400,38200,36600,34300,31600,28900,26200,23700,21900,20700,20200,20200,20500,20600,20400,19900,19200,18300,17600,16800,16100,15400,14900,14400,14000,13800,13800,13600,13400,12900,12400,11800,11400,11000,10700,10400,10200,9970,9770,9510
Armenia,8160,8150,8150,8140,8130,8130,8120,8110,8110,8100,8090,8080,8090,8090,8090,8110,8120,8130,8160,8180,8210,8250,8280,8320,8370,8410,8460,8520,8580,8640,8710,8780,8850,8920,9000,9070,9140,9230,9300,9370,9460,9530,9610,9690,9770,9850,9940,10000,10100,10200,10300,10300,10400,10500,10600,10700,10800,10900,10900,11000,11100,11200,11300,11400,11500,11600,11700,11800,11900,12000,12100,12200,12300,12400,12500,12600,12700,12800,12900,13000,13100,13200,13300,13400,13500,13600,13700,13800,14000,14100,14200,14300,14400,14500,14700,14800,14900,15000,15100,15200,15300,15200,15100,15100,15000,15000,14900,14800,14800,14700,14600,14600,14500,14500,14400,14400,14300,14200,14200,14100,14100,14000,14000,13900,13800,13800,13500,13200,12900,12600,12400,11800,11300,10800,10300,9790,9340,8910,8500,8110,7730,7370,7030,6700,6390,6090,5800,5530,5260,5010,4780,4860,5030,5180,5320,5400,5490,5550,5570,5560,5450,5310,5110,4810,4500,4140,3810,3820,3860,3940,4070,4260,4480,4730,4990,5270,6340,6130,5850,5600,5430,5360,5340,5340,5300,5210,5090,4920,7060,4370,3980,3590,3150,2710,2310,1980,1690,1460,1280,1160,1090,1050,1050,1070,1080,1070,1040,1000,944,887,831,779,723,671,620,577
Australia,6170,6140,6110,6070,6040,6010,5980,5940,5910,5880,5850,5820,5780,5750,5720,5690,5660,5630,5600,5570,5540,5520,5500,5490,5480,5480,5470,5460,5460,5480,5510,5560,5610,5680,5760,5840,5930,6010,6120,6260,6420,6570,6790,7060,7380,7760,8160,8630,9140,9670,10700,11500,11400,12900,13100,15200,15600,17800,19000,20100,20900,19900,19500,17900,17500,16300,14600,14000,13300,12000,11300,10500,12300,12200,13800,15700,13400,14400,15500,13800,14400,14700,17800,16300,17900,19100,19200,18000,18600,21800,17500,19400,17500,19500,16400,15900,17500,16000,19900,18000,15300,16200,16700,16800,12300,12400,12900,12800,12400,11500,12400,11500,13400,13600,13600,12600,12800,9880,10100,11700,13100,12300,9860,10800,10400,9590,9470,9760,9710,8900,8520,7420,7480,7580,8430,7940,8430,7800,7910,8070,8160,8700,8680,8620,7230,6730,6950,6560,6320,5960,6170,5950,5740,5560,5470,5460,5490,5570,5680,5750,5780,5720,5590,5450,5320,5280,5260,5310,5390,5440,5450,5440,5380,5220,4980,4610,4150,3690,3220,2860,2670,2620,2670,2800,2900,2940,2900,2780,2610,2430,2280,2140,2050,1990,1920,1850,1790,1710,1660,1600,1530,1490,1460,1470,1470,1460,1480,1490,1510,1500,1480,1400,1320,1240,1170,1150
Austria,44800,43200,41800,40300,38900,37600,36300,38300,37200,35400,35900,36500,35300,36200,39200,36800,34900,35400,35700,37500,36600,36900,39700,36800,38800,40000,39700,37000,38700,36100,49200,56000,50900,54700,57300,52800,50500,54400,51900,55400,53300,55200,54200,57600,51400,55600,56800,56600,56300,56100,58300,56600,57000,53800,65100,66700,58200,58200,61200,62600,58900,65500,62000,64300,62000,66900,68800,62700,61400,60000,62700,64000,69800,76800,69000,65200,68300,69100,66400,63900,67300,66700,69100,68200,68200,69600,69100,67700,68900,66100,69800,69900,72400,66300,72000,70900,68300,67400,67200,66400,70300,64500,67400,64400,64200,68200,60600,61500,58300,61200,54200,56900,50200,50500,44100,53800,45300,41700,40500,30600,37200,38200,38200,33500,28700,25100,24500,23300,21800,19400,17400,17100,17600,15100,14600,15900,14600,14300,12000,10600,10800,9990,10600,11400,12900,26400,11500,10300,9010,8440,7260,6870,6100,6020,5580,5690,5820,5930,5980,5920,5750,5500,5180,4870,4580,4330,4110,3930,3780,3650,3500,3300,3050,2740,2420,2120,1870,1680,1560,1480,1420,1380,1340,1310,1260,1190,1100,988,888,814,765,741,737,737,712,662,611,553,489,439,412,397,395,400,396,395,389,377,364,351,341,327,315,312,300,288
